Settings, precison
tfidf_no_pws_3,0.63
tfidf_no_jks_4,0.63
tfidf_no_dps_4,0.63
tfidf_no_jpws_3,0.628888889
tfidf_no_djpws_2,0.628888889
tfidf_no_djkps_2,0.628888889
tfidf_no_dkps_4,0.627777778
tfidf_no_djps_4,0.627777778
tfidf_no_djws_2,0.626666667
tfidf_no_djkps_3,0.626666667
tfidf_no_ws_2,0.624444444
tfidf_no_jkps_4,0.624444444
tfidf_no_djks_4,0.624444444
tfidf_no_kws_4,0.623333333
tfidf_no_djws_3,0.623333333
tfidf_no_ws_3,0.621111111
tfidf_no_dpws_2,0.621111111
tfidf_no_jkws_4,0.62
tfidf_no_djkps_4,0.618888889
tfidf_no_djpws_3,0.613333333
tfidf_no_jkpws_4,0.611111111
tfidf_true_djkws_1,0.61
tfidf_false_djkws_1,0.61
tfidf_no_djpws_4,0.606666667
tfidf_no_dpws_3,0.604444444
tfidf_no_dpws_4,0.604444444
tfidf_no_dws_3,0.598888889
tfidf_no_djws_4,0.597777778
tfidf_no_jkpws_2,0.596666667
tfidf_no_dws_4,0.595555556
tfidf_no_kpws_4,0.591111111
tfidf_no_dws_2,0.588888889
tfidf_no_kws_3,0.583333333
tfidf_no_jkpws_3,0.58
tfidf_no_jkws_3,0.574444444
tfidf_no_pws_1,0.573333333
tfidf_no_ws_1,0.572222222
tfidf_no_kpws_2,0.566666667
tfidf_no_kpws_3,0.564444444
tfidf_no_jws_1,0.552222222
tfidf_no_jpws_1,0.55
tfidf_no_djkpws_2,0.533333333
tfidf_no_djkpws_3,0.532222222
tfidf_no_jkws_2,0.53
tfidf_no_djkpws_4,0.527777778
tfidf_no_djkws_3,0.526666667
tfidf_no_dkpws_3,0.515555556
tfidf_no_dkws_4,0.51
tfidf_no_dws_1,0.507777778
tfidf_no_dkws_3,0.506666667
tfidf_no_dpws_1,0.502222222
tfidf_no_kws_2,0.5
tfidf_no_dkpws_2,0.494444444
tfidf_no_dkpws_4,0.492222222
tfidf_no_djkws_4,0.492222222
tfidf_no_kpws_1,0.487777778
tfidf_no_djws_1,0.475555556
tfidf_no_djpws_1,0.475555556
tfidf_no_djkws_2,0.473333333
tfidf_no_jkpws_1,0.448888889
tfidf_no_kws_1,0.442222222
tfidf_no_dkws_2,0.413333333
tfidf_no_dkpws_1,0.397777778
tfidf_no_jkws_1,0.396666667
tfidf_no_djkpws_1,0.357777778
tfidf_no_dkws_1,0.346666667
tfidf_no_djkws_1,0.307777778
